"subj","euro_cent","durations","peak","conscious"
2,"euro",17,0.647624872579001,0
3,"euro",17,0.509159296533496,0
4,"euro",17,0.527159946832078,0
5,"euro",17,0.422851934708758,0
6,"euro",17,0.557142029992473,0
7,"euro",17,0.460184213594497,0
8,"euro",17,0.0973512211902305,0
9,"euro",17,0.585942180424939,0
10,"euro",17,0.603674030913652,0
11,"euro",17,0.748057498057498,0
12,"euro",17,0.516750524109015,0
13,"euro",17,0.645984421165727,0
14,"euro",17,0.484624381466487,0
15,"euro",17,0.730750719023302,0
16,"euro",17,0.639119911991199,0
17,"euro",17,0.584360056258791,0
18,"euro",17,0.509033491232444,0
19,"euro",17,0.610893246187364,0
20,"euro",17,0.747716049382716,0
21,"euro",17,0.393434343434343,0
22,"euro",17,0.743351158645276,0
23,"euro",17,0.742922799826098,0
2,"euro",50,0.664818212708121,1
3,"euro",50,0.588736403375013,0
4,"euro",50,0.563579973416039,1
5,"euro",50,0.456524981357196,1
6,"euro",50,0.567031439986104,0
7,"euro",50,0.661490031479538,1
8,"euro",50,0.0992913656690746,0
9,"euro",50,0.622765586903518,1
10,"euro",50,0.602994254268835,0
11,"euro",50,0.727602952602953,1
12,"euro",50,0.595366876310273,1
13,"euro",50,0.625015668367804,1
14,"euro",50,0.49855150697256,0
15,"euro",50,0.767083406703058,0
16,"euro",50,0.671991199119912,1
17,"euro",50,0.631148616971402,0
18,"euro",50,0.623385689354276,1
19,"euro",50,0.614830376595082,1
20,"euro",50,0.754907407407407,1
21,"euro",50,0.416738816738817,0
22,"euro",50,0.742139037433155,0
23,"euro",50,0.647226880317993,0
2,"euro",100,0.621474685694869,1
3,"euro",100,0.693544779912575,1
4,"euro",100,0.616915275931669,1
5,"euro",100,0.734427044494159,1
6,"euro",100,0.607631289444734,1
7,"euro",100,0.749772647778944,1
8,"euro",100,0.676546267629859,1
9,"euro",100,0.690714036920933,1
10,"euro",100,0.665048150845674,0
11,"euro",100,0.747494172494172,1
12,"euro",100,0.6658071278826,1
13,"euro",100,0.629707225355896,1
14,"euro",100,0.490148448043185,1
15,"euro",100,0.811926982449962,1
16,"euro",100,0.705368536853685,1
17,"euro",100,0.664716361931552,1
18,"euro",100,0.669691681210006,1
19,"euro",100,0.631419234360411,1
20,"euro",100,0.784351851851852,1
21,"euro",100,0.487337662337662,1
22,"euro",100,0.726654783125371,1
23,"euro",100,0.598273399167754,1
2,"cent",17,0.666571525654094,0
3,"cent",17,0.471708854325506,0
4,"cent",17,0.517835868655541,0
5,"cent",17,0.456193553732704,0
6,"cent",17,0.570957095709571,0
7,"cent",17,0.464428121720881,0
8,"cent",17,0.108427932576539,0
9,"cent",17,0.581010101010101,0
10,"cent",17,0.549243343853686,0
11,"cent",17,0.730574980574981,0
12,"cent",17,0.512285115303983,0
13,"cent",17,0.620145044319097,0
14,"cent",17,0.459505173189384,0
15,"cent",17,0.731008980454305,0
16,"cent",17,0.654147414741474,0
17,"cent",17,0.616108766994843,0
18,"cent",17,0.569284467713787,0
19,"cent",17,0.63042328042328,0
20,"cent",17,0.769228395061728,0
21,"cent",17,0.388347763347763,0
22,"cent",17,0.740510992275698,0
23,"cent",17,0.588224333892305,0
2,"cent",50,0.654787631668366,1
3,"cent",50,0.439808884822609,0
4,"cent",50,0.50856102003643,1
5,"cent",50,0.351528709917972,1
6,"cent",50,0.571628741821551,0
7,"cent",50,0.499242159263146,1
8,"cent",50,0.0985896112831097,0
9,"cent",50,0.523970741901776,1
10,"cent",50,0.606328396860079,0
11,"cent",50,0.743667443667444,1
12,"cent",50,0.249559748427673,1
13,"cent",50,0.634291342107619,1
14,"cent",50,0.471003148897886,0
15,"cent",50,0.738028995715208,0
16,"cent",50,0.587194719471947,1
17,"cent",50,0.622991092358181,0
18,"cent",50,0.577129560375634,1
19,"cent",50,0.604450669156552,1
20,"cent",50,0.7075,1
21,"cent",50,0.453138528138528,0
22,"cent",50,0.728853238265003,0
23,"cent",50,0.541407366002112,0
2,"cent",100,0.610112130479103,1
3,"cent",100,0.385422384873437,1
4,"cent",100,0.455412789839019,1
5,"cent",100,0.277388350318999,1
6,"cent",100,0.509686758149499,1
7,"cent",100,0.251673079165209,1
8,"cent",100,0.209466804265566,1
9,"cent",100,0.509829327760362,1
10,"cent",100,0.553710447519625,0
11,"cent",100,0.681157731157731,1
12,"cent",100,0.286561844863732,1
13,"cent",100,0.647810905183991,1
14,"cent",100,0.48582995951417,1
15,"cent",100,0.700545870751893,1
16,"cent",100,0.618767876787679,1
17,"cent",100,0.517205813408345,1
18,"cent",100,0.543721432726668,1
19,"cent",100,0.541892312480548,1
20,"cent",100,0.375493827160494,1
21,"cent",100,0.428787878787879,1
22,"cent",100,0.732560903149138,1
23,"cent",100,0.516862306689026,1
